Date,Sr No,Credit,Debit,Amount,Remark,Fromto
"=""15/02/2026 00:00:00""","=""1""","=""14466763.4""","=""0""","=""14466763.4""","=""Opening pts""","="""""
"=""15/02/2026 12:33:58""","=""2""","=""0""","=""-500000""","=""13966763.4""","=""D""","=""jms1010/hnji310"""
"=""15/02/2026 18:22:54""","=""3""","=""81180""","=""0""","=""14047943.4""","=""Bank Withdraw""","=""sharma102/jms1010"""
"=""15/02/2026 18:22:57""","=""4""","=""0""","=""-68630""","=""13979313.4""","=""Bank Deposite""","=""jms1010/shrma100"""
"=""15/02/2026 23:02:58""","=""5""","=""30571348.74""","=""0""","=""44550662.14""","=""Bank Withdraw""","=""dwarkadhish003/jms1010"""
"=""15/02/2026 23:03:17""","=""6""","=""1533125""","=""0""","=""46083787.14""","=""Bank Withdraw""","=""kpji8080/jms1010"""
"=""15/02/2026 23:03:33""","=""7""","=""1900000""","=""0""","=""47983787.14""","=""Bank Withdraw""","=""nirved05/jms1010"""
"=""15/02/2026 23:03:38""","=""8""","=""675000""","=""0""","=""48658787.14""","=""Bank Withdraw""","=""kp0050/jms1010"""
"=""15/02/2026 23:03:45""","=""9""","=""846150""","=""0""","=""49504937.14""","=""Bank Withdraw""","=""kp0021/jms1010"""
"=""15/02/2026 23:03:59""","=""10""","=""3350250""","=""0""","=""52855187.14""","=""Bank Withdraw""","=""hnji100/jms1010"""
"=""15/02/2026 23:04:06""","=""11""","=""0""","=""-1251700""","=""51603487.14""","=""Bank Deposite""","=""jms1010/hnji310"""
"=""15/02/2026 23:04:15""","=""12""","=""0""","=""-9999968""","=""41603519.14""","=""Bank Deposite""","=""jms1010/kpk0001"""
"=""15/02/2026 23:04:21""","=""13""","=""335000""","=""0""","=""41938519.14""","=""Bank Withdraw""","=""kitu15/jms1010"""
"=""15/02/2026 23:04:29""","=""14""","=""76000""","=""0""","=""42014519.14""","=""Bank Withdraw""","=""sharma102/jms1010"""
"=""15/02/2026 23:04:35""","=""15""","=""0""","=""-75425""","=""41939094.14""","=""Bank Deposite""","=""jms1010/shrma100"""
"=""15/02/2026 23:05:04""","=""16""","=""0""","=""-6996531.54""","=""34942562.6""","=""Bank Deposite""","=""jms1010/rushi193"""
"=""15/02/2026 23:05:24""","=""17""","=""0""","=""-31""","=""34942531.6""","=""Bank Deposite""","=""jms1010/rushi1004"""
"=""15/02/2026 23:05:32""","=""18""","=""1040000""","=""0""","=""35982531.6""","=""Bank Withdraw""","=""rrmji50/jms1010"""
